"permissionId","permissionName","description"
"zyl77dcndqtuc2c36nefkr8x","access_company_reviews","company reviews"
"wrkcg07av3w4ytwqaj4a584f","access_create_company","Create company"
"vdpe9jmir6ztdgoyexe7h3cy","access_user_roles","User Role"
"tyg931va7addnjbm4aldngdf","access_company","Access Company"
"ncp759iwxma5bkaq7jlko7yj","access_admin_statistics","Admin Statistics"
"m541smt1t1apdacdf54r7zl0","access_account_status","Ban User"
"aml781v7bz4lckkm9n53rb6e","access_car_reviews_flag","Car review falgs"
"c75eztofq2bnhcfy120tghyg","access_car_reviews","Car Reviews"
"f4p85v3woxk0tsaazww2hxp4","access_books","Books"
"cgizku48eiuuje60otjzn9h8","access_company_cars","Company Cars"
"m12rms55da9kg6dph7aighvw","access_company_reviews_flag","Company Review Flags"
"f13k73ok05toqs6zzj45j9qh","access_update_user_password","Update User Password"
"bx9lxyc26ggmprcvgvlbmpew","access_recover_account","Recover Account"
"m118f4rn6q2esnbhmja3rr75","access_support","Support"
"vg9pkghi97sq4970q33kw0kn","access_notifications","Notification"
"o2h4oqijq8ecc67ikfksoqc9","access_brands","Brand"
"lryby8xq2l9ht7ws2dxu672u","access_car_types","Car Types"
"e11hztiyycsho2emgn3l4alv","access_towns","Towns"
"h6utknyh24kgdnk9b1pjr86g","access_cities","Governarate"
"v12es28lhcbefyp93c02obwr","access_users","Users"
"dypbovv1lvrgk0wlkt4hl43k","access_cities","Cities"
